-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/16/2023 through 01/16/2024 
Location: Latitude  41.6494   Longitude -0.8922 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 368.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M
2023,10,21,3.82
2023,10,22,4.05
2023,10,23,3.47
2023,10,24,5.32
2023,10,25,5.7
2023,10,26,7.02
2023,10,27,6.25
2023,10,28,4.8
2023,10,29,3.0
2023,10,30,4.86
2023,10,31,3.19
2023,11,1,4.41
2023,11,2,10.64
2023,11,3,9.08
2023,11,4,8.35
2023,11,5,8.16
2023,11,6,4.86
2023,11,7,4.71
2023,11,8,3.54
2023,11,9,5.02
2023,11,10,5.61
2023,11,11,5.14
2023,11,12,5.52
2023,11,13,4.7
2023,11,14,5.44
2023,11,15,4.39
2023,11,16,4.65
2023,11,17,5.05
2023,11,18,2.22
2023,11,19,2.18
2023,11,20,5.7
2023,11,21,9.86
2023,11,22,9.02
2023,11,23,7.45
2023,11,24,8.97
2023,11,25,7.09
2023,11,26,3.0
2023,11,27,5.92
2023,11,28,6.31
2023,11,29,4.11
2023,11,30,4.06
2023,12,1,5.92
2023,12,2,6.9
2023,12,3,3.18
2023,12,4,4.64
2023,12,5,4.66
2023,12,6,3.32
2023,12,7,2.29
2023,12,8,6.87
2023,12,9,6.11
2023,12,10,4.75
2023,12,11,4.34
2023,12,12,4.29
2023,12,13,7.48
2023,12,14,10.12
2023,12,15,7.21
2023,12,16,3.91
2023,12,17,1.66
2023,12,18,2.11
2023,12,19,5.85
2023,12,20,9.66
2023,12,21,9.36
2023,12,22,9.98
2023,12,23,8.18
2023,12,24,4.68
2023,12,25,3.48
2023,12,26,3.38
2023,12,27,2.28
2023,12,28,2.23
2023,12,29,2.99
2023,12,30,2.7
2023,12,31,4.57
2024,1,1,3.7
2024,1,2,4.34
2024,1,3,4.82
2024,1,4,2.36
2024,1,5,7.79
2024,1,6,10.14
2024,1,7,9.06
2024,1,8,6.65
2024,1,9,2.48
2024,1,10,2.06
2024,1,11,6.41
2024,1,12,3.48
2024,1,13,2.61
2024,1,14,5.08
2024,1,15,-999.0
2024,1,16,-999.0
